Id	Type	Time	Length	Hex	Ascii	
16	W	0.000000	9	00 01 80 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000071	8	01 80 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000018	8	01 80 08 01 00 00 00 00	........	
16	W	0.313235	9	00 01 81 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000144	8	01 81 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000026	8	01 81 08 01 00 00 00 00	........	
16	W	0.217026	9	00 08 81 00 04 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000093	8	08 81 00 04 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000018	8	08 81 00 04 00 00 00 00	........	
16	W	1.218615	9	00 01 81 03 02 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000062	8	01 81 03 02 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000014	8	01 81 03 02 00 00 00 00	........	
16	W	0.203587	9	00 03 04 84 00 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000146	8	03 04 84 00 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000024	8	03 04 84 00 00 00 00 00	........	
16	W	0.218511	9	00 01 81 08 03 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000074	8	01 81 08 03 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000013	8	01 81 08 03 00 00 00 00	........	
16	W	0.218175	9	00 08 81 00 06 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000125	8	08 81 00 06 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000013	8	08 81 00 06 00 00 00 00	........	
