Id	Type	Time	Length	Hex	Ascii	
16	W	0.000000	9	00 01 80 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000069	8	01 80 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000013	8	01 80 08 01 00 00 00 00	........	
16	W	1.307931	9	00 01 81 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000070	8	01 81 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000026	8	01 81 08 01 00 00 00 00	........	
16	W	0.218623	9	00 08 81 00 04 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000066	8	08 81 00 04 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000027	8	08 81 00 04 00 00 00 00	........	
16	W	0.218297	9	00 01 81 03 02 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000134	8	01 81 03 02 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000026	8	01 81 03 02 00 00 00 00	........	
16	W	0.218945	9	00 03 04 9d 00 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000168	8	03 04 9d 00 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000035	8	03 04 9d 00 00 00 00 00	........	
16	W	0.218142	9	00 01 81 08 03 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000136	8	01 81 08 03 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000026	8	01 81 08 03 00 00 00 00	........	
16	W	1.203583	9	00 08 81 00 06 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000190	8	08 81 00 06 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000024	8	08 81 00 06 00 00 00 00	........	
