Id	Type	Time	Length	Hex	Ascii	
16	W	0.000000	9	00 01 80 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000070	8	01 80 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000014	8	01 80 08 01 00 00 00 00	........	
16	W	0.311716	9	00 01 81 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000040	8	01 81 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000016	8	01 81 08 01 00 00 00 00	........	
16	W	1.203305	9	00 08 81 00 04 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000113	8	08 81 00 04 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000021	8	08 81 00 04 00 00 00 00	........	
16	W	0.202857	9	00 01 81 03 02 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000088	8	01 81 03 02 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000015	8	01 81 03 02 00 00 00 00	........	
16	W	0.218918	9	00 03 04 04 00 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000126	8	03 04 04 00 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000022	8	03 04 04 00 00 00 00 00	........	
16	W	0.202561	9	00 01 81 08 03 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000054	8	01 81 08 03 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000013	8	01 81 08 03 00 00 00 00	........	
16	W	0.203096	9	00 08 81 00 06 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000104	8	08 81 00 06 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000020	8	08 81 00 06 00 00 00 00	........	
