Id	Type	Time	Length	Hex	Ascii	
12	W	0.000000	9	00 01 80 08 01 00 00 00 00	.........	
11	Out  (USB URB Function: 27)	0.000084	8	01 80 08 01 00 00 00 00	........	
9	Out  (USB URB Function: 27)	0.000016	8	01 80 08 01 00 00 00 00	........	
12	W	0.303080	9	00 01 81 08 01 00 00 00 00	.........	
11	Out  (USB URB Function: 27)	0.000127	8	01 81 08 01 00 00 00 00	........	
9	Out  (USB URB Function: 27)	0.000024	8	01 81 08 01 00 00 00 00	........	
12	W	1.218697	9	00 08 81 00 04 00 00 00 00	.........	
11	Out  (USB URB Function: 27)	0.000054	8	08 81 00 04 00 00 00 00	........	
9	Out  (USB URB Function: 27)	0.000025	8	08 81 00 04 00 00 00 00	........	
12	W	0.217958	9	00 01 81 08 02 00 00 00 00	.........	
11	Out  (USB URB Function: 27)	0.000124	8	01 81 08 02 00 00 00 00	........	
9	Out  (USB URB Function: 27)	0.000025	8	01 81 08 02 00 00 00 00	........	
12	W	0.217986	9	00 08 81 04 00 00 00 00 00	.........	
11	Out  (USB URB Function: 27)	0.000072	8	08 81 04 00 00 00 00 00	........	
9	Out  (USB URB Function: 27)	0.000014	8	08 81 04 00 00 00 00 00	........	
12	W	0.203338	9	00 01 81 08 03 00 00 00 00	.........	
11	Out  (USB URB Function: 27)	0.000120	8	01 81 08 03 00 00 00 00	........	
9	Out  (USB URB Function: 27)	0.000020	8	01 81 08 03 00 00 00 00	........	
12	W	0.202761	9	00 08 81 00 06 00 00 00 00	.........	
11	Out  (USB URB Function: 27)	0.000071	8	08 81 00 06 00 00 00 00	........	
9	Out  (USB URB Function: 27)	0.000015	8	08 81 00 06 00 00 00 00	........	
