Id	Type	Time	Length	Hex	Ascii	
16	W	0.000000	9	00 01 80 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000080	8	01 80 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000015	8	01 80 08 01 00 00 00 00	........	
16	W	0.313006	9	00 01 81 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000076	8	01 81 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000015	8	01 81 08 01 00 00 00 00	........	
16	W	0.207374	9	00 08 81 00 04 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000041	8	08 81 00 04 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000056	8	08 81 00 04 00 00 00 00	........	
16	W	0.204088	9	00 01 81 0e 02 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000075	8	01 81 0e 02 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000014	8	01 81 0e 02 00 00 00 00	........	
16	W	0.217019	9	00 0e 04 84 96 86 8c 8c 2c	........,	
15	Out  (USB URB Function: 27)	0.000030	8	0e 04 84 96 86 8c 8c 2c	.......,	
13	Out  (USB URB Function: 27)	0.000013	8	0e 04 84 96 86 8c 8c 2c	.......,	
16	W	1.203800	9	00 96 97 95 8c 91 8a 00 00	.........	
15	Out  (USB URB Function: 27)	0.000093	8	96 97 95 8c 91 8a 00 00	........	
13	Out  (USB URB Function: 27)	0.000017	8	96 97 95 8c 91 8a 00 00	........	
16	W	0.203444	9	00 01 81 08 03 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000145	8	01 81 08 03 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000026	8	01 81 08 03 00 00 00 00	........	
16	W	0.218841	9	00 08 81 00 06 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000106	8	08 81 00 06 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000087	8	08 81 00 06 00 00 00 00	........	
