Id	Type	Time	Length	Hex	Ascii	
12	W	0.000000	9	00 01 80 08 01 00 00 00 00	.........	
11	Out  (USB URB Function: 27)	0.000105	8	01 80 08 01 00 00 00 00	........	
9	Out  (USB URB Function: 27)	0.000014	8	01 80 08 01 00 00 00 00	........	
12	W	0.313737	9	00 01 81 08 01 00 00 00 00	.........	
11	Out  (USB URB Function: 27)	0.000106	8	01 81 08 01 00 00 00 00	........	
9	Out  (USB URB Function: 27)	0.000018	8	01 81 08 01 00 00 00 00	........	
12	W	1.216268	9	00 08 81 00 04 00 00 00 00	.........	
11	Out  (USB URB Function: 27)	0.000056	8	08 81 00 04 00 00 00 00	........	
9	Out  (USB URB Function: 27)	0.000024	8	08 81 00 04 00 00 00 00	........	
12	W	0.218003	9	00 01 81 08 02 00 00 00 00	.........	
11	Out  (USB URB Function: 27)	0.000069	8	01 81 08 02 00 00 00 00	........	
9	Out  (USB URB Function: 27)	0.000012	8	01 81 08 02 00 00 00 00	........	
12	W	0.203373	9	00 08 81 01 00 00 00 00 00	.........	
11	Out  (USB URB Function: 27)	0.000112	8	08 81 01 00 00 00 00 00	........	
9	Out  (USB URB Function: 27)	0.000014	8	08 81 01 00 00 00 00 00	........	
12	W	0.202333	9	00 01 81 08 03 00 00 00 00	.........	
11	Out  (USB URB Function: 27)	0.000081	8	01 81 08 03 00 00 00 00	........	
9	Out  (USB URB Function: 27)	0.000014	8	01 81 08 03 00 00 00 00	........	
12	W	0.202758	9	00 08 81 00 06 00 00 00 00	.........	
11	Out  (USB URB Function: 27)	0.000073	8	08 81 00 06 00 00 00 00	........	
9	Out  (USB URB Function: 27)	0.000014	8	08 81 00 06 00 00 00 00	........	
