Id	Type	Time	Length	Hex	Ascii	
16	W	0.000000	9	00 01 83 08 00 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000068	8	01 83 08 00 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000013	8	01 83 08 00 00 00 00 00	........	
16	R	0.106922	9	00 00 00 00 00 00 00 00 00	.........	
16	R	0.155094	9	00 46 6f 6f 74 53 77 69 74	.FootSwit	
16	W	0.115768	9	00 01 82 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000072	8	01 82 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000024	8	01 82 08 01 00 00 00 00	........	
13	In  (USB URB Function: 9)	0.013842	8	08 01 00 04 00 00 00 00	........	
15	In  (USB URB Function: 9)	0.000013	8	08 01 00 04 00 00 00 00	........	
16	R	0.199932	11	00 00 00 00 00 00 00 00 00 00 00	...........	
16	W	0.062504	9	00 01 82 08 02 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000118	8	01 82 08 02 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000031	8	01 82 08 02 00 00 00 00	........	
13	In  (USB URB Function: 9)	0.009263	8	08 03 01 00 00 00 00 00	........	
15	In  (USB URB Function: 9)	0.000011	8	08 03 01 00 00 00 00 00	........	
16	R	1.193951	11	00 00 00 00 00 00 00 00 00 00 00	...........	
16	W	0.061109	9	00 01 82 08 03 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000022	8	01 82 08 03 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000015	8	01 82 08 03 00 00 00 00	........	
13	In  (USB URB Function: 9)	0.008819	8	08 01 00 06 00 00 00 00	........	
15	In  (USB URB Function: 9)	0.000012	8	08 01 00 06 00 00 00 00	........	
16	R	0.195200	11	00 00 00 00 00 00 00 00 00 00 00	...........	
16	W	11.508254	9	00 01 80 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000075	8	01 80 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000016	8	01 80 08 01 00 00 00 00	........	
16	W	1.314848	9	00 01 81 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000076	8	01 81 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000014	8	01 81 08 01 00 00 00 00	........	
16	W	0.208377	9	00 08 01 00 04 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000152	8	08 01 00 04 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000025	8	08 01 00 04 00 00 00 00	........	
16	W	0.217966	9	00 01 81 08 02 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000139	8	01 81 08 02 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000025	8	01 81 08 02 00 00 00 00	........	
16	W	0.219319	9	00 08 03 00 00 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000195	8	08 03 00 00 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000024	8	08 03 00 00 00 00 00 00	........	
16	W	0.218124	9	00 01 81 08 03 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000117	8	01 81 08 03 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000013	8	01 81 08 03 00 00 00 00	........	
16	W	1.202598	9	00 08 01 00 06 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000160	8	08 01 00 06 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000018	8	08 01 00 06 00 00 00 00	........	
16	W	2.186188	9	00 01 82 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000065	8	01 82 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000015	8	01 82 08 01 00 00 00 00	........	
13	In  (USB URB Function: 9)	0.007931	8	08 01 00 04 00 00 00 00	........	
15	In  (USB URB Function: 9)	0.000011	8	08 01 00 04 00 00 00 00	........	
16	R	0.196268	11	00 00 00 00 00 00 00 00 00 00 00	...........	
16	W	0.061817	9	00 01 82 08 02 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000034	8	01 82 08 02 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000015	8	01 82 08 02 00 00 00 00	........	
13	In  (USB URB Function: 9)	0.014160	8	08 03 00 00 00 00 00 00	........	
15	In  (USB URB Function: 9)	0.000016	8	08 03 00 00 00 00 00 00	........	
16	R	0.188994	11	00 00 00 00 00 00 00 00 00 00 00	...........	
