Id	Type	Time	Length	Hex	Ascii	
16	W	0.000000	9	00 01 80 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000074	8	01 80 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000014	8	01 80 08 01 00 00 00 00	........	
16	W	0.302090	9	00 01 81 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000143	8	01 81 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000025	8	01 81 08 01 00 00 00 00	........	
16	W	0.217162	9	00 08 81 00 04 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000080	8	08 81 00 04 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000014	8	08 81 00 04 00 00 00 00	........	
16	W	1.203036	9	00 01 81 03 02 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000081	8	01 81 03 02 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000014	8	01 81 03 02 00 00 00 00	........	
16	W	0.203222	9	00 03 04 26 00 00 00 00 00	...&.....	
15	Out  (USB URB Function: 27)	0.000046	8	03 04 26 00 00 00 00 00	..&.....	
13	Out  (USB URB Function: 27)	0.000020	8	03 04 26 00 00 00 00 00	..&.....	
16	W	0.203306	9	00 01 81 08 03 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000107	8	01 81 08 03 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000021	8	01 81 08 03 00 00 00 00	........	
16	W	0.203709	9	00 08 81 00 06 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000159	8	08 81 00 06 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000025	8	08 81 00 06 00 00 00 00	........	
