Id	Type	Time	Length	Hex	Ascii	
16	W	0.000000	9	00 01 82 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000067	8	01 82 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000014	8	01 82 08 01 00 00 00 00	........	
13	In  (USB URB Function: 9)	0.007910	8	08 81 00 04 00 00 00 00	........	
15	In  (USB URB Function: 9)	0.000013	8	08 81 00 04 00 00 00 00	........	
16	R	0.204083	11	00 00 00 00 00 00 00 00 00 00 00	...........	
16	W	0.062393	9	00 01 82 08 02 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000102	8	01 82 08 02 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000030	8	01 82 08 02 00 00 00 00	........	
13	In  (USB URB Function: 9)	0.013594	8	08 81 01 00 00 00 00 00	........	
15	In  (USB URB Function: 9)	0.000018	8	08 81 01 00 00 00 00 00	........	
16	R	0.203808	11	00 00 00 00 00 00 00 00 00 00 00	...........	
16	W	0.062630	9	00 01 82 08 03 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000079	8	01 82 08 03 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000014	8	01 82 08 03 00 00 00 00	........	
13	In  (USB URB Function: 9)	0.013323	8	08 81 00 06 00 00 00 00	........	
15	In  (USB URB Function: 9)	0.000015	8	08 81 00 06 00 00 00 00	........	
16	R	0.189930	11	00 00 00 00 00 00 00 00 00 00 00	...........	
