Id	Type	Time	Length	Hex	Ascii	
16	W	0.000000	9	00 01 80 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000089	8	01 80 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000024	8	01 80 08 01 00 00 00 00	........	
16	W	1.310406	9	00 01 81 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000144	8	01 81 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000027	8	01 81 08 01 00 00 00 00	........	
16	W	0.217638	9	00 08 81 00 04 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000054	8	08 81 00 04 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000024	8	08 81 00 04 00 00 00 00	........	
16	W	0.202651	9	00 01 81 03 02 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000127	8	01 81 03 02 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000015	8	01 81 03 02 00 00 00 00	........	
16	W	0.203830	9	00 03 04 1e 00 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000041	8	03 04 1e 00 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000056	8	03 04 1e 00 00 00 00 00	........	
16	W	0.203053	9	00 01 81 08 03 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000099	8	01 81 08 03 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000026	8	01 81 08 03 00 00 00 00	........	
16	W	1.218662	9	00 08 81 00 06 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000130	8	08 81 00 06 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000017	8	08 81 00 06 00 00 00 00	........	
