Id	Type	Time	Length	Hex	Ascii	
16	W	0.000000	9	00 01 80 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000097	8	01 80 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000014	8	01 80 08 01 00 00 00 00	........	
16	W	1.313012	9	00 01 81 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000094	8	01 81 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000013	8	01 81 08 01 00 00 00 00	........	
16	W	0.203063	9	00 08 81 00 04 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000119	8	08 81 00 04 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000020	8	08 81 00 04 00 00 00 00	........	
16	W	0.202349	9	00 01 81 04 02 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000076	8	01 81 04 02 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000014	8	01 81 04 02 00 00 00 00	........	
16	W	0.203839	9	00 04 04 1e 1f 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000056	8	04 04 1e 1f 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000024	8	04 04 1e 1f 00 00 00 00	........	
16	W	1.203098	9	00 01 81 08 03 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000143	8	01 81 08 03 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000027	8	01 81 08 03 00 00 00 00	........	
16	W	0.203014	9	00 08 81 00 06 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000142	8	08 81 00 06 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000024	8	08 81 00 06 00 00 00 00	........	
