Id	Type	Time	Length	Hex	Ascii	
16	W	0.000000	9	00 01 80 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000068	8	01 80 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000015	8	01 80 08 01 00 00 00 00	........	
16	W	0.311952	9	00 01 81 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000061	8	01 81 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000024	8	01 81 08 01 00 00 00 00	........	
16	W	0.219306	9	00 08 81 00 04 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000069	8	08 81 00 04 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000030	8	08 81 00 04 00 00 00 00	........	
16	W	1.203451	9	00 01 81 05 02 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000227	8	01 81 05 02 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000025	8	01 81 05 02 00 00 00 00	........	
16	W	0.218476	9	00 05 04 1e 1f 20 00 00 00	..... ...	
15	Out  (USB URB Function: 27)	0.000236	8	05 04 1e 1f 20 00 00 00	.... ...	
13	Out  (USB URB Function: 27)	0.000024	8	05 04 1e 1f 20 00 00 00	.... ...	
16	W	0.218685	9	00 01 81 08 03 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000152	8	01 81 08 03 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000026	8	01 81 08 03 00 00 00 00	........	
16	W	0.203167	9	00 08 81 00 06 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000209	8	08 81 00 06 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000024	8	08 81 00 06 00 00 00 00	........	
