Id	Type	Time	Length	Hex	Ascii	
16	W	0.000000	9	00 01 80 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000068	8	01 80 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000013	8	01 80 08 01 00 00 00 00	........	
16	W	0.307282	9	00 01 81 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000061	8	01 81 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000124	8	01 81 08 01 00 00 00 00	........	
16	W	0.218429	9	00 08 81 00 04 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000133	8	08 81 00 04 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000025	8	08 81 00 04 00 00 00 00	........	
16	W	0.203031	9	00 01 81 06 02 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000058	8	01 81 06 02 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000024	8	01 81 06 02 00 00 00 00	........	
16	W	1.218830	9	00 06 04 1e 1f 20 21 00 00	..... !..	
15	Out  (USB URB Function: 27)	0.000138	8	06 04 1e 1f 20 21 00 00	.... !..	
13	Out  (USB URB Function: 27)	0.000026	8	06 04 1e 1f 20 21 00 00	.... !..	
16	W	0.218627	9	00 01 81 08 03 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000143	8	01 81 08 03 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000025	8	01 81 08 03 00 00 00 00	........	
16	W	0.218401	9	00 08 81 00 06 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000065	8	08 81 00 06 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000030	8	08 81 00 06 00 00 00 00	........	
