Id	Type	Time	Length	Hex	Ascii	
16	W	0.000000	9	00 01 80 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000069	8	01 80 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000012	8	01 80 08 01 00 00 00 00	........	
16	W	0.307355	9	00 01 81 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000038	8	01 81 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000014	8	01 81 08 01 00 00 00 00	........	
16	W	0.202951	9	00 08 81 00 04 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000035	8	08 81 00 04 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000053	8	08 81 00 04 00 00 00 00	........	
16	W	1.204225	9	00 01 81 07 02 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000172	8	01 81 07 02 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000031	8	01 81 07 02 00 00 00 00	........	
16	W	0.201838	9	00 07 04 1e 1f 20 21 22 00	..... !".	
15	Out  (USB URB Function: 27)	0.000073	8	07 04 1e 1f 20 21 22 00	.... !".	
13	Out  (USB URB Function: 27)	0.000015	8	07 04 1e 1f 20 21 22 00	.... !".	
16	W	0.203038	9	00 01 81 08 03 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000067	8	01 81 08 03 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000013	8	01 81 08 03 00 00 00 00	........	
16	W	0.204031	9	00 08 81 00 06 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000083	8	08 81 00 06 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000016	8	08 81 00 06 00 00 00 00	........	
