Id	Type	Time	Length	Hex	Ascii	
16	W	0.000000	9	00 01 80 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000067	8	01 80 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000013	8	01 80 08 01 00 00 00 00	........	
16	W	1.305696	9	00 01 81 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000143	8	01 81 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000025	8	01 81 08 01 00 00 00 00	........	
16	W	0.218656	9	00 08 81 00 04 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000083	8	08 81 00 04 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000015	8	08 81 00 04 00 00 00 00	........	
16	W	0.202869	9	00 01 81 08 02 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000083	8	01 81 08 02 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000015	8	01 81 08 02 00 00 00 00	........	
16	W	0.203366	9	00 08 04 1e 1f 20 21 22 23	..... !"#	
15	Out  (USB URB Function: 27)	0.000139	8	08 04 1e 1f 20 21 22 23	.... !"#	
13	Out  (USB URB Function: 27)	0.000025	8	08 04 1e 1f 20 21 22 23	.... !"#	
16	W	0.202031	9	00 01 81 08 03 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000072	8	01 81 08 03 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000013	8	01 81 08 03 00 00 00 00	........	
16	W	1.203017	9	00 08 81 00 06 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000108	8	08 81 00 06 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000014	8	08 81 00 06 00 00 00 00	........	
