Id	Type	Time	Length	Hex	Ascii	
16	W	0.000000	9	00 01 80 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000066	8	01 80 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000014	8	01 80 08 01 00 00 00 00	........	
16	W	1.307263	9	00 01 81 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000159	8	01 81 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000026	8	01 81 08 01 00 00 00 00	........	
16	W	0.202978	9	00 08 81 00 04 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000162	8	08 81 00 04 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000029	8	08 81 00 04 00 00 00 00	........	
16	W	0.218540	9	00 01 81 08 02 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000161	8	01 81 08 02 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000026	8	01 81 08 02 00 00 00 00	........	
16	W	0.218510	9	00 08 81 01 00 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000228	8	08 81 01 00 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000025	8	08 81 01 00 00 00 00 00	........	
16	W	1.218828	9	00 01 81 08 03 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000135	8	01 81 08 03 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000025	8	01 81 08 03 00 00 00 00	........	
16	W	0.217090	9	00 08 81 00 06 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000044	8	08 81 00 06 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000017	8	08 81 00 06 00 00 00 00	........	
