Id	Type	Time	Length	Hex	Ascii	
16	W	0.000000	9	00 01 83 08 00 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000068	8	01 83 08 00 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000013	8	01 83 08 00 00 00 00 00	........	
13	In  (USB URB Function: 9)	0.018378	8	46 6f 6f 74 53 77 69 74	FootSwit	
15	In  (USB URB Function: 9)	0.000013	8	46 6f 6f 74 53 77 69 74	FootSwit	
13	In  (USB URB Function: 9)	0.007944	8	63 68 31 46 31 2e 33 74	ch1F1.3t	
15	In  (USB URB Function: 9)	0.000011	8	63 68 31 46 31 2e 33 74	ch1F1.3t	
16	R	1.096237	9	00 00 00 00 00 00 00 00 00	.........	
16	R	0.112725	9	00 46 6f 6f 74 53 77 69 74	.FootSwit	
16	W	0.111903	9	00 01 82 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000077	8	01 82 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000019	8	01 82 08 01 00 00 00 00	........	
13	In  (USB URB Function: 9)	0.014962	8	08 81 00 04 00 00 00 00	........	
15	In  (USB URB Function: 9)	0.000013	8	08 81 00 04 00 00 00 00	........	
16	R	0.197624	11	00 00 00 00 00 00 00 00 00 00 00	...........	
16	W	0.062614	9	00 01 82 08 02 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000054	8	01 82 08 02 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000015	8	01 82 08 02 00 00 00 00	........	
13	In  (USB URB Function: 9)	0.011746	8	08 81 01 00 00 00 00 00	........	
15	In  (USB URB Function: 9)	0.000013	8	08 81 01 00 00 00 00 00	........	
16	R	0.191236	11	00 00 00 00 00 00 00 00 00 00 00	...........	
16	W	0.062458	9	00 01 82 08 03 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000136	8	01 82 08 03 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000017	8	01 82 08 03 00 00 00 00	........	
13	In  (USB URB Function: 9)	0.008686	8	08 81 00 06 00 00 00 00	........	
15	In  (USB URB Function: 9)	0.000012	8	08 81 00 06 00 00 00 00	........	
16	R	1.194395	11	00 00 00 00 00 00 00 00 00 00 00	...........	
