Id	Type	Time	Length	Hex	Ascii	
12	W	0.000000	9	00 01 83 08 00 00 00 00 00	.........	
11	Out  (USB URB Function: 27)	0.000063	8	01 83 08 00 00 00 00 00	........	
9	Out  (USB URB Function: 27)	0.000013	8	01 83 08 00 00 00 00 00	........	
9	In  (USB URB Function: 9)	0.018467	8	46 6f 6f 74 53 77 69 74	FootSwit	
11	In  (USB URB Function: 9)	0.000015	8	46 6f 6f 74 53 77 69 74	FootSwit	
9	In  (USB URB Function: 9)	0.007934	8	63 68 31 46 31 2e 33 74	ch1F1.3t	
11	In  (USB URB Function: 9)	0.000012	8	63 68 31 46 31 2e 33 74	ch1F1.3t	
12	R	0.092019	9	00 00 00 00 00 00 00 00 00	.........	
12	R	0.110745	9	00 46 6f 6f 74 53 77 69 74	.FootSwit	
12	W	0.114406	9	00 01 82 08 01 00 00 00 00	.........	
11	Out  (USB URB Function: 27)	0.000087	8	01 82 08 01 00 00 00 00	........	
9	Out  (USB URB Function: 27)	0.000017	8	01 82 08 01 00 00 00 00	........	
9	In  (USB URB Function: 9)	0.019216	8	08 81 00 04 00 00 00 00	........	
11	In  (USB URB Function: 9)	0.000012	8	08 81 00 04 00 00 00 00	........	
12	R	1.193687	11	00 00 00 00 00 00 00 00 00 00 00	...........	
12	W	0.062803	9	00 01 82 08 02 00 00 00 00	.........	
11	Out  (USB URB Function: 27)	0.000134	8	01 82 08 02 00 00 00 00	........	
9	Out  (USB URB Function: 27)	0.000024	8	01 82 08 02 00 00 00 00	........	
9	In  (USB URB Function: 9)	0.014854	8	08 81 09 00 00 00 00 00	........	
11	In  (USB URB Function: 9)	0.000013	8	08 81 09 00 00 00 00 00	........	
12	R	0.203457	11	00 00 00 00 00 00 00 00 00 00 00	...........	
12	W	0.062760	9	00 01 82 08 03 00 00 00 00	.........	
11	Out  (USB URB Function: 27)	0.000154	8	01 82 08 03 00 00 00 00	........	
9	Out  (USB URB Function: 27)	0.000024	8	01 82 08 03 00 00 00 00	........	
9	In  (USB URB Function: 9)	0.013591	8	08 81 00 06 00 00 00 00	........	
11	In  (USB URB Function: 9)	0.000012	8	08 81 00 06 00 00 00 00	........	
12	R	0.204696	11	00 00 00 00 00 00 00 00 00 00 00	...........	
