Id	Type	Time	Length	Hex	Ascii	
12	W	0.000000	9	00 01 80 08 01 00 00 00 00	.........	
11	Out  (USB URB Function: 27)	0.000082	8	01 80 08 01 00 00 00 00	........	
9	Out  (USB URB Function: 27)	0.000013	8	01 80 08 01 00 00 00 00	........	
12	W	0.302811	9	00 01 81 08 01 00 00 00 00	.........	
11	Out  (USB URB Function: 27)	0.000076	8	01 81 08 01 00 00 00 00	........	
9	Out  (USB URB Function: 27)	0.000013	8	01 81 08 01 00 00 00 00	........	
12	W	0.219393	9	00 08 81 00 04 00 00 00 00	.........	
11	Out  (USB URB Function: 27)	0.000144	8	08 81 00 04 00 00 00 00	........	
9	Out  (USB URB Function: 27)	0.000026	8	08 81 00 04 00 00 00 00	........	
12	W	0.218546	9	00 01 81 08 02 00 00 00 00	.........	
11	Out  (USB URB Function: 27)	0.000154	8	01 81 08 02 00 00 00 00	........	
9	Out  (USB URB Function: 27)	0.000025	8	01 81 08 02 00 00 00 00	........	
12	W	0.218236	9	00 08 81 09 00 00 00 00 00	.........	
11	Out  (USB URB Function: 27)	0.000193	8	08 81 09 00 00 00 00 00	........	
9	Out  (USB URB Function: 27)	0.000024	8	08 81 09 00 00 00 00 00	........	
12	W	1.218494	9	00 01 81 08 03 00 00 00 00	.........	
11	Out  (USB URB Function: 27)	0.000080	8	01 81 08 03 00 00 00 00	........	
9	Out  (USB URB Function: 27)	0.000015	8	01 81 08 03 00 00 00 00	........	
12	W	0.202165	9	00 08 81 00 06 00 00 00 00	.........	
11	Out  (USB URB Function: 27)	0.000079	8	08 81 00 06 00 00 00 00	........	
9	Out  (USB URB Function: 27)	0.000015	8	08 81 00 06 00 00 00 00	........	
