Id	Type	Time	Length	Hex	Ascii	
16	W	0.000000	9	00 01 80 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000089	8	01 80 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000017	8	01 80 08 01 00 00 00 00	........	
16	W	0.307306	9	00 01 81 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000095	8	01 81 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000016	8	01 81 08 01 00 00 00 00	........	
16	W	0.202308	9	00 08 81 00 04 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000082	8	08 81 00 04 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000015	8	08 81 00 04 00 00 00 00	........	
16	W	0.203619	9	00 01 81 03 02 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000047	8	01 81 03 02 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000018	8	01 81 03 02 00 00 00 00	........	
16	W	1.203595	9	00 03 04 1f 00 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000211	8	03 04 1f 00 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000025	8	03 04 1f 00 00 00 00 00	........	
16	W	0.217925	9	00 01 81 08 03 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000122	8	01 81 08 03 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000020	8	01 81 08 03 00 00 00 00	........	
16	W	0.202939	9	00 08 81 00 06 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000159	8	08 81 00 06 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000016	8	08 81 00 06 00 00 00 00	........	
