Id	Type	Time	Length	Hex	Ascii	
16	W	0.000000	9	00 01 80 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000077	8	01 80 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000015	8	01 80 08 01 00 00 00 00	........	
16	W	1.308556	9	00 01 81 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000030	8	01 81 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000013	8	01 81 08 01 00 00 00 00	........	
16	W	0.218796	9	00 08 81 00 04 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000092	8	08 81 00 04 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000017	8	08 81 00 04 00 00 00 00	........	
16	W	0.202908	9	00 01 81 03 02 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000071	8	01 81 03 02 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000014	8	01 81 03 02 00 00 00 00	........	
16	W	0.203634	9	00 03 04 1d 00 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000168	8	03 04 1d 00 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000014	8	03 04 1d 00 00 00 00 00	........	
16	W	0.202667	9	00 01 81 08 03 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000126	8	01 81 08 03 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000014	8	01 81 08 03 00 00 00 00	........	
16	W	1.203064	9	00 08 81 00 06 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000064	8	08 81 00 06 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000029	8	08 81 00 06 00 00 00 00	........	
