Id	Type	Time	Length	Hex	Ascii	
16	W	0.000000	9	00 01 80 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000075	8	01 80 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000014	8	01 80 08 01 00 00 00 00	........	
16	W	0.303783	9	00 01 81 08 01 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000062	8	01 81 08 01 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000026	8	01 81 08 01 00 00 00 00	........	
16	W	1.218717	9	00 08 81 00 04 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000140	8	08 81 00 04 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000025	8	08 81 00 04 00 00 00 00	........	
16	W	0.218548	9	00 01 81 03 02 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000063	8	01 81 03 02 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000025	8	01 81 03 02 00 00 00 00	........	
16	W	0.218631	9	00 03 04 27 00 00 00 00 00	...'.....	
15	Out  (USB URB Function: 27)	0.000128	8	03 04 27 00 00 00 00 00	..'.....	
13	Out  (USB URB Function: 27)	0.000025	8	03 04 27 00 00 00 00 00	..'.....	
16	W	0.203095	9	00 01 81 08 03 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000157	8	01 81 08 03 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000025	8	01 81 08 03 00 00 00 00	........	
16	W	0.218183	9	00 08 81 00 06 00 00 00 00	.........	
15	Out  (USB URB Function: 27)	0.000167	8	08 81 00 06 00 00 00 00	........	
13	Out  (USB URB Function: 27)	0.000025	8	08 81 00 06 00 00 00 00	........	
